code,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,exit_reason,entry_score,concurrent_positions,market_state_at_entry
515000,2026-05-11,2026-05-12,1.27,1.27,-0.0009999999999999998,20,到期,1.0,1,trend
515000,2026-05-15,2026-06-01,1.291,1.37,0.060162277304415326,12,期末平仓,1.0,1,trend
515050,2024-01-17,2024-01-18,0.264,0.264,-0.001,12,止损,1.0,1,range
515050,2024-03-25,2024-03-26,0.315,0.314,-0.004173015873015875,20,到期,1.0,1,trend
515050,2024-05-29,2024-05-30,0.305,0.304,-0.004277049180327872,20,到期,1.0,1,range
515050,2024-07-02,2024-07-03,0.336,0.336,-0.001,20,到期,1.0,1,trend
515050,2024-08-05,2024-08-06,0.298,0.303,0.015770134228187932,19,止损,1.0,1,range
515050,2024-11-07,2024-11-08,0.39,0.394,0.00925128205128206,20,到期,1.0,1,trend
515050,2024-12-06,2024-12-09,0.37,0.37,-0.001,20,到期,1.0,1,trend
515050,2025-01-09,2025-01-10,0.369,0.367,-0.0064173441734417394,20,到期,1.0,1,range
515050,2025-02-24,2025-02-25,0.425,0.417,-0.01981411764705884,20,到期,1.0,1,trend
515050,2025-03-26,2025-03-27,0.372,0.372,-0.001,20,到期,1.0,1,range
515050,2025-07-03,2025-07-04,0.397,0.396,-0.003517632241813604,20,到期,1.0,1,trend
515050,2025-08-01,2025-08-04,0.457,0.453,-0.009748358862144427,20,到期,1.0,1,trend
515050,2025-09-02,2025-09-03,0.638,0.632,-0.010399686520376183,20,到期,1.0,1,trend
515050,2025-10-10,2025-10-13,0.693,0.646,-0.06878715728715719,20,到期,1.0,1,trend
515050,2025-11-18,2025-11-19,0.657,0.655,-0.004042617960426182,20,到期,1.0,1,range
515050,2025-12-29,2025-12-30,0.77,0.766,-0.006192207792207797,20,到期,1.0,1,trend
515050,2026-01-29,2026-01-30,0.78,0.774,-0.008688461538461544,20,到期,1.0,1,trend
515050,2026-03-09,2026-03-10,0.776,0.79,0.017032216494845376,20,到期,1.0,1,trend
515050,2026-04-08,2026-04-09,0.851,0.837,-0.017443008225616934,20,到期,1.0,1,trend
515050,2026-05-18,2026-05-19,1.128,1.114,-0.013405141843971447,20,到期,1.0,1,trend
